Bioma,Intempérie,Posição,População Quilombola,Macrorregião,SE+ECP,Código,Status,UF,Nome,Município,Município código,População Total,Latitude,Longitude,Macrorregião código,Região,Região código,SE,ECP,Agua,Estiagem,Incendio,Frio,Erosao,Outros
Caatinga,Estiagem,1,273,LITORAL LESTE/JAGUARIBE,12,23269,Portaria,CE,Córrego Ubaranas - CE,Aracati,2301109,316,-4.611141098,-37.66701175,2306,4ª RS LITORAL LESTE/JAGUARIBE,23025,9,3,0,9,0,0,0,3
Caatinga,Estiagem,1,268,FORTALEZA,6,23270,RTID (1),CE,Água Preta - CE,Tururu,2313559,356,-3.615414486,-39.39434304,2310,1ª RS FORTALEZA,23001,3,3,1,2,0,0,0,3
Caatinga,Estiagem,1,231,SOBRAL,13,23202,Decreto,CE,Lagoa das Pedras e Encantados do Bom Jardim - CE,Tamboril,2313203,352,-4.742468903,-40.32005702,2309,5ª RS SOBRAL,23011,11,2,0,11,0,0,0,2
Caatinga,Estiagem,1,188,VALE DO S.FRANCISCO E ARARIPE,24,26415,RTID (1),PE,Feijão e Posse - PE,Mirandiba,2609303,191,-8.14906892,-38.73711621,2605,SALGUEIRO,26011,20,4,0,20,0,0,0,4
Caatinga,Estiagem,1,172,MACRORREGIAO III - SERTAO/ALTO SERTAO,22,25366,RTID (1),PB,Pitombeira - PB,Santa Luzia,2513406,215,-6.832153307,-36.9689678,2501,6ª REGIAO,25006,18,4,0,18,0,0,0,4
Caatinga,Estiagem,1,162,CARIRI,22,23237,Portaria,CE,Serra dos Chagas - CE,Salitre,2311959,172,-7.265408569,-40.37462215,2308,2ª RS CARIRI,23023,19,3,0,19,0,0,0,3
Caatinga,Estiagem,1,160,SERTAO CENTRAL,19,23268,Portaria,CE,Sítio Veiga - CE,Quixadá,2311306,182,-4.905573569,-39.13036795,2307,3ª RS SERTAO CENTRAL,23024,15,4,0,15,0,0,0,4
Caatinga,Estiagem,1,115,AGRESTE,14,26367,RTID (1),PE,Timbo - PE,Garanhuns,2606002,115,-9.007760333,-36.39125288,2608,GARANHUNS,26004,10,4,2,8,0,0,0,4
Caatinga,Estiagem,2,1098,OESTE (NBS - BARREIRAS),20,29417,RTID (1),BA,Juá-Bandeira - BA,Bom Jesus da Lapa,2903904,1117,-12.9260819,-43.30400853,2912,SANTA MARIA DA VITORIA,29021,17,3,1,16,0,0,0,3
Caatinga,Estiagem,2,998,MACRORREGIAO I,21,24193,Decreto,RN,Macambira - RN,Santana do Matos,2411403,1105,-6.03699068,-36.55955742,2402,4ª REGIAO DE SAUDE - CAICO,24004,17,4,0,16,0,0,0,5
Caatinga,Estiagem,2,410,MACRO UNICA,18,28167,Portaria,SE,Catuabo - SE,Nossa Senhora Aparecida,2804458,449,-10.45916232,-37.54605765,2801,ITABAIANA,28003,14,4,1,13,0,0,0,4
Caatinga,Estiagem,2,262,FORTALEZA,19,23271,Portaria,CE,Boqueirão da Arara - CE,Caucaia,2303709,288,-3.733143458,-38.78836216,2310,1ª RS FORTALEZA,23001,16,3,0,16,0,0,0,3
Caatinga,Estiagem,2,260,MACRORREGIAO I - JOAO PESSOA,15,25143,Decreto,PB,Grilo - PB,Riachão do Bacamarte,2512754,279,-7.221003653,-35.65978268,2503,12ª REGIAO,25012,11,4,0,11,0,0,0,4
Caatinga,Estiagem,2,181,2ª MACRORREGIAO DE SAUDE,16,27357,RTID (1),AL,Cajá dos Negros - AL,Batalha,2700706,187,-9.75125748,-37.0923398,2703,7ª REGIAO DE SAUDE,27007,15,1,0,15,0,0,0,1
Caatinga,Estiagem,2,161,MACRORREGIAO III - SERTAO/ALTO SERTAO,24,25503,RTID (1),PB,Fonseca - PB,Manaíra,2509008,163,-7.73236875,-38.18021564,2501,11ª REGIAO,25011,20,4,0,20,0,0,0,4
Caatinga,Estiagem,2,158,CARIRI,22,23218,Decreto,CE,Sítio Arruda - CE,Salitre,2311959,164,-7.195993375,-40.26376896,2308,2ª RS CARIRI,23023,19,3,0,19,0,0,0,3
Caatinga,Estiagem,2,150,SOBRAL,20,23244,RTID (1),CE,Queimadas - CE,Crateús,2304103,1403,-5.234248234,-40.85354837,2309,5ª RS SOBRAL,23011,17,3,1,16,0,0,0,3
Caatinga,Estiagem,2,113,SUDOESTE (NBS - VITORIA CONQUISTA),12,29182,Decreto,BA,Mata do Sapê - BA,Riacho de Santana,2926400,113,-13.55605586,-42.7798377,2911,GUANAMBI,29007,9,3,1,8,0,0,0,3
